,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-07-20,191.78,192.43,190.17,191.44,191.44,20706042,0.0,1.0
1,2018-07-19,189.69,192.55,189.69,191.88,191.88,20286752,0.0,1.0
2,2018-07-18,191.78,191.8,189.93,190.4,190.4,16393381,0.0,1.0
3,2018-07-17,189.75,191.87,189.2,191.45,191.45,15534523,0.0,1.0
4,2018-07-16,191.52,192.65,190.415,190.91,190.91,15043110,0.0,1.0
5,2018-07-13,191.08,191.84,190.9,191.33,191.33,12519792,0.0,1.0
6,2018-07-12,189.53,191.41,189.31,191.03,191.03,18041131,0.0,1.0
7,2018-07-11,188.5,189.7799,187.61,187.88,187.88,18831470,0.0,1.0
8,2018-07-10,190.71,191.28,190.1801,190.35,190.35,15939149,0.0,1.0
9,2018-07-09,189.5,190.68,189.3,190.58,190.58,19756634,0.0,1.0
10,2018-07-06,185.42,188.434,185.2,187.97,187.97,17485245,0.0,1.0
11,2018-07-05,185.26,186.41,184.28,185.4,185.4,16604248,0.0,1.0
12,2018-07-03,187.79,187.95,183.54,183.92,183.92,13954806,0.0,1.0
13,2018-07-02,183.82,187.3,183.42,187.18,187.18,17731343,0.0,1.0
14,2018-06-29,186.29,187.19,182.91,185.11,185.11,22737666,0.0,1.0
15,2018-06-28,184.1,186.21,183.8,185.5,185.5,17365235,0.0,1.0
16,2018-06-27,185.2278,187.28,184.03,184.16,184.16,25285328,0.0,1.0
17,2018-06-26,182.99,186.53,182.54,184.43,184.43,24569201,0.0,1.0
18,2018-06-25,183.4,184.92,180.73,182.17,182.17,31663096,0.0,1.0
19,2018-06-22,186.12,186.15,184.7,184.92,184.92,27200447,0.0,1.0
20,2018-06-21,187.25,188.35,184.94,185.46,185.46,25711898,0.0,1.0
21,2018-06-20,186.35,187.2,185.73,186.5,186.5,20628701,0.0,1.0
22,2018-06-19,185.14,186.33,183.45,185.69,185.69,33578455,0.0,1.0
23,2018-06-18,187.88,189.22,187.2,188.74,188.74,18484865,0.0,1.0
24,2018-06-15,190.03,190.16,188.26,188.84,188.84,61719160,0.0,1.0
25,2018-06-14,191.55,191.57,190.22,190.8,190.8,21610074,0.0,1.0
26,2018-06-13,192.42,192.88,190.44,190.7,190.7,21638393,0.0,1.0
27,2018-06-12,191.385,192.611,191.15,192.28,192.28,16911141,0.0,1.0
28,2018-06-11,191.35,191.97,190.21,191.23,191.23,18308460,0.0,1.0
29,2018-06-08,191.17,192.0,189.77,191.7,191.7,26656799,0.0,1.0
30,2018-06-07,194.14,194.2,192.335,193.46,193.46,21347180,0.0,1.0
31,2018-06-06,193.63,194.08,191.92,193.98,193.98,20933619,0.0,1.0
32,2018-06-05,193.065,193.94,192.36,193.31,193.31,21565963,0.0,1.0
33,2018-06-04,191.635,193.42,191.35,191.83,191.83,26266174,0.0,1.0
34,2018-06-01,187.9912,190.26,187.75,190.24,190.24,23442510,0.0,1.0
35,2018-05-31,187.22,188.23,186.14,186.87,186.87,27482793,0.0,1.0
36,2018-05-30,187.72,188.0,186.78,187.5,187.5,18690547,0.0,1.0
37,2018-05-29,187.6,188.75,186.87,187.9,187.9,22514075,0.0,1.0
38,2018-05-25,188.23,189.65,187.65,188.58,188.58,17460963,0.0,1.0
39,2018-05-24,188.77,188.84,186.21,188.15,188.15,23233975,0.0,1.0
40,2018-05-23,186.35,188.5,185.76,188.36,188.36,20058415,0.0,1.0
